40,1,90,217
0,0,90,9
40,1,90,-2
40,1,90,-2
0,0,135,5
40,0,135,6
40,0,90,4
40,1,90,4
0,0,135,4
40,0,135,4
40,0,90,4
40,1,90,4
0,0,135,5
40,0,135,5
40,0,90,6
40,1,90,6
0,0,135,6
40,0,135,6
40,0,90,221
40,1,90,229
0,0,135,10
40,0,135,222
40,0,90,224
40,1,90,229
0,0,135,7
40,0,135,7
40,0,90,220
40,1,90,221
50,1,135,240
40,1,90,213
0,0,90,3
40,1,90,210
0,0,90,7
40,1,90,241
0,0,90,5
40,1,90,-2
0,0,90,215
40,1,90,215
0,0,90,-2
40,1,90,215
0,0,90,3
40,1,90,221
0,0,90,4
40,1,90,222
0,0,90,216
0,0,135,-2
40,0,135,-2
40,0,90,-2
40,1,90,-2
0,0,90,-2
0,0,135,-2
40,0,135,-2
40,0,90,-2
40,1,90,-2
0,0,90,213
0,0,135,-2
40,0,135,-2
40,0,90,219
40,1,90,-2
0,0,90,4
0,0,135,10
40,0,135,10
40,0,90,224
40,1,90,-2
0,0,90,-2
0,0,135,-2
40,0,135,-2
40,0,90,226
40,1,90,225
0,0,90,10
0,0,135,10
40,0,135,11
40,0,90,-2
40,1,90,-2
0,0,90,5
0,0,135,5
40,0,135,5
40,0,90,-2
40,1,90,-2
40,1,90,-2
0,0,90,10
