id, x1, y1, x2, y22023-09-24 09:04:01.397134,468,2,599,2
2023-09-24 09:04:01.398352,178,1,443,1
2023-09-24 09:04:01.399259,182,11,429,11
2023-09-24 09:04:01.400569,490,4,599,4
2023-09-24 09:04:01.421860,373,226,599,226
2023-09-24 09:04:01.422361,180,8,441,8
2023-09-24 09:04:01.422961,0,10,35,10
2023-09-24 09:04:01.423319,456,0,595,0
2023-09-24 09:04:01.423804,136,24,151,24
2023-09-24 09:04:01.424201,508,5,599,5
2023-09-24 09:04:01.424647,52,21,113,21
2023-09-24 09:04:01.425305,188,17,399,17
2023-09-24 09:04:01.426021,184,3,443,3
2023-09-24 09:04:01.437985,414,218,599,218
2023-09-24 09:04:01.442918,371,228,599,228
2023-09-24 09:04:01.443439,188,24,321,24
2023-09-24 09:04:01.443819,192,16,391,16
2023-09-24 09:04:01.444186,510,6,599,6
2023-09-24 09:04:01.444478,536,45,599,45
2023-09-24 09:04:01.444726,500,231,599,231
2023-09-24 09:04:01.444970,178,2,443,2
2023-09-24 09:04:01.445226,210,26,321,26
2023-09-24 09:04:01.445489,180,7,441,7
2023-09-24 09:04:01.453494,407,221,599,221
2023-09-24 09:04:01.453978,52,33,99,33
2023-09-24 09:04:01.454274,422,214,599,214
2023-09-24 09:04:01.454556,372,51,451,51
2023-09-24 09:04:01.454809,548,63,599,63
2023-09-24 09:04:01.455042,548,34,599,34
2023-09-24 09:04:01.455266,192,14,290,14
2023-09-24 09:04:01.460487,216,44,315,44
2023-09-24 09:04:01.460956,542,49,599,49
2023-09-24 09:04:01.461366,376,49,451,49
2023-09-24 09:04:01.461888,208,25,306,25
2023-09-24 09:04:01.462253,429,211,599,211
2023-09-24 09:04:01.462664,216,31,319,31
2023-09-24 09:04:01.463156,212,27,319,27
2023-09-24 09:04:01.463782,0,46,79,46
2023-09-24 09:04:01.464198,48,24,109,24
2023-09-24 09:04:01.464723,532,18,591,18
2023-09-24 09:04:01.465540,180,5,443,5
2023-09-24 09:04:01.466906,182,15,286,15
2023-09-24 09:04:01.467780,356,35,415,35
2023-09-24 09:04:01.468625,431,209,599,209
2023-09-24 09:04:01.469498,398,56,455,56
2023-09-24 09:04:01.504023,341,6,384,6
2023-09-24 09:04:01.504520,238,32,319,32
2023-09-24 09:04:01.504990,45,1,151,1
2023-09-24 09:04:01.505507,336,23,397,23
